seal_sha256,draw,pipeline,axis,t_name,is_identity,r_name,k,n_eff,n_raw,p_hat,cp_lcb,accepted,skipped_low_neff,in_signature
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,non_rule_fact,drop_risk_item,0,R_down_omega,0,165,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,non_rule_fact,drop_risk_item,0,R_sign_eq,139,165,195,0.8424,0.7325,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,non_rule_fact,bump_founder_experience,0,R_eq_omega,195,195,195,1.0,0.9624,1,0,1
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,non_rule_fact,bump_founder_experience,0,R_up_omega,0,195,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,non_rule_fact,bump_founder_experience,0,R_down_omega,0,195,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,non_rule_fact,bump_founder_experience,0,R_sign_eq,166,195,195,0.8513,0.7529,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,rule_threshold,strengthen_revenue_threshold,0,R_eq_omega,152,195,195,0.7795,0.6707,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,rule_threshold,strengthen_revenue_threshold,0,R_up_omega,0,195,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,rule_threshold,strengthen_revenue_threshold,0,R_down_omega,43,195,195,0.2205,0.1333,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,rule_threshold,strengthen_revenue_threshold,0,R_sign_eq,139,195,195,0.7128,0.5981,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,rule_threshold,weaken_revenue_threshold,0,R_eq_omega,146,195,195,0.7487,0.6368,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,1,f_wrongstochastic,rule_threshold,weaken_revenue_threshold,0,R_up_omega,49,195,195,0.2513,0.1586,0,0,0
